source_dir,model,round,rows,csv,top0p1pct_hits,top0p1pct_recovery,top0p5pct_hits,top0p5pct_recovery,top1pct_hits,top1pct_recovery,ndcg1pct_eval_k,ndcg1pct_hits_in_eval_k,ndcg1pct
lsh_cumulative_triplet,Triplet,2,553251,138M_models/roundwise/lsh_cumulative_triplet/round_02_cumulative.csv,15824,0.11440717792253802,53410,0.07723074075573627,84495,0.06108983484524559,553251,84495,0.14363205482074387
lsh_cumulative_triplet,Triplet,3,691564,138M_models/roundwise/lsh_cumulative_triplet/round_03_cumulative.csv,26642,0.19262108406295866,89364,0.1292201444840969,138465,0.10011011280959739,691564,138465,0.18934554722455216
lsh_cumulative_triplet,Triplet,4,829877,138M_models/roundwise/lsh_cumulative_triplet/round_04_cumulative.csv,35384,0.25582555508159033,120918,0.174847158035988,187929,0.13587255544863197,829877,187929,0.2153409561285097
lsh_cumulative_triplet,Triplet,5,968190,138M_models/roundwise/lsh_cumulative_triplet/round_05_cumulative.csv,41887,0.3028421045021075,146634,0.21203243662191787,230603,0.16672583211809183,968190,230603,0.227684440854576
lsh_cumulative_triplet,Triplet,6,1106503,138M_models/roundwise/lsh_cumulative_triplet/round_06_cumulative.csv,46998,0.3397945240143732,167879,0.24275265918989422,266860,0.19293962159657066,1106503,266860,0.23168362653320052
lsh_cumulative_triplet,Triplet,7,1244816,138M_models/roundwise/lsh_cumulative_triplet/round_07_cumulative.csv,51306,0.3709412708856,185599,0.268375739627858,298353,0.2157090419028766,1244816,298353,0.23128262284877266
lsh_cumulative_triplet,Triplet,8,1383129,138M_models/roundwise/lsh_cumulative_triplet/round_08_cumulative.csv,54978,0.397489751505643,202721,0.29313411340092893,330037,0.23861655509580826,1383127,330037,0.23108649671605455
lsh_cumulative_triplet,Triplet,9,1521442,138M_models/roundwise/lsh_cumulative_triplet/round_09_cumulative.csv,57367,0.41476216986111214,215411,0.3114838250689741,355345,0.256914224073422,1383127,330037,0.23108649671605455
lsh_cumulative_triplet,Triplet,10,1659755,138M_models/roundwise/lsh_cumulative_triplet/round_10_cumulative.csv,60091,0.4344566309746734,228211,0.32999259649143103,379742,0.2745532405917895,1383127,330037,0.23108649671605455
lsh_cumulative_rf,RF,0,276625,138M_models/roundwise/lsh_cumulative_rf/round_00_cumulative.csv,277,0.0020027040119150043,1394,0.002015720887726949,2709,0.001958605391984973,276625,2709,0.009950697571377641
lsh_cumulative,LSH_baseline,0,276625,138M_models/roundwise/lsh_cumulative/round_00_cumulative.csv,277,0.0020027040119150043,1394,0.002015720887726949,2709,0.001958605391984973,276625,2709,0.009950697571377641
lsh_cumulative,LSH_baseline,1,414938,138M_models/roundwise/lsh_cumulative/round_01_cumulative.csv,5010,0.03622219169564683,19728,0.028526643954861732,33618,0.02430579404494309,414938,33618,0.07601838013318155
lsh_cumulative,LSH_baseline,2,553251,138M_models/roundwise/lsh_cumulative/round_02_cumulative.csv,16127,0.1165978613723945,55393,0.08009815432844972,87697,0.06340487894459439,553251,87697,0.14898131739285123
lsh_cumulative,LSH_baseline,3,691564,138M_models/roundwise/lsh_cumulative/round_03_cumulative.csv,26088,0.18861567603912865,90475,0.13082664800365548,141872,0.10257337178726177,691564,141872,0.19392844277536173
lsh_cumulative,LSH_baseline,4,829877,138M_models/roundwise/lsh_cumulative/round_04_cumulative.csv,34649,0.2505115209705523,120739,0.17458832443562708,189745,0.13718552237068612,829877,189745,0.217411785131906
lsh_cumulative,LSH_baseline,5,968190,138M_models/roundwise/lsh_cumulative/round_05_cumulative.csv,41976,0.303485572578138,148029,0.21404960350741217,234411,0.16947901385772962,968190,234411,0.2313706287378587
lsh_cumulative,LSH_baseline,6,1106503,138M_models/roundwise/lsh_cumulative/round_06_cumulative.csv,48031,0.34726309168335584,171865,0.24851640629066868,274868,0.1987294008431619,1106503,274868,0.23844807191539788
lsh_cumulative,LSH_baseline,7,1244816,138M_models/roundwise/lsh_cumulative/round_07_cumulative.csv,53847,0.3893126459551886,194815,0.281702055052027,313869,0.22692710069285033,1244816,313869,0.2429291332396527
lsh_cumulative,LSH_baseline,8,1383129,138M_models/roundwise/lsh_cumulative/round_08_cumulative.csv,58056,0.41974362496656137,213708,0.3090212908711269,348087,0.2516666943816439,1383127,348086,0.24334479855960348
lsh_cumulative,LSH_baseline,9,1521442,138M_models/roundwise/lsh_cumulative/round_09_cumulative.csv,62059,0.448685228431167,231615,0.33491477289159066,380305,0.2749602892576025,1383127,348086,0.24334479855960348
lsh_cumulative,LSH_baseline,10,1659755,138M_models/roundwise/lsh_cumulative/round_10_cumulative.csv,65309,0.4721826581738521,247182,0.3574246201363865,409594,0.2961362188721643,1383127,348086,0.24334479855960348
random_cumulative,Random,0,276625,138M_models/roundwise/random_cumulative/round_00_cumulative.csv,269,0.0019448641848560872,1365,0.0019737869524729455,2715,0.0019629433884234783,276625,2715,0.00983101724863721
random_cumulative,Random,1,414938,138M_models/roundwise/random_cumulative/round_01_cumulative.csv,5112,0.036959649490648026,20607,0.029797675992388268,35621,0.025753961855997317,414938,35621,0.08040373199740934
random_cumulative,Random,2,553251,138M_models/roundwise/random_cumulative/round_02_cumulative.csv,17136,0.12389290956020041,57573,0.08325042946133691,89962,0.06504247260012999,553251,89962,0.1527891081958335
random_cumulative,Random,3,691564,138M_models/roundwise/random_cumulative/round_03_cumulative.csv,27377,0.19793511817399667,92179,0.13329062819927007,143101,0.10346193805774885,691564,143101,0.19564303770839614
random_cumulative,Random,4,829877,138M_models/roundwise/random_cumulative/round_04_cumulative.csv,36118,0.26113235921424593,123508,0.17859229225350076,193108,0.13961696937446813,829877,193108,0.221242847724975
random_cumulative,Random,5,968190,138M_models/roundwise/random_cumulative/round_05_cumulative.csv,42606,0.3080404589590277,149540,0.21623450613392253,236828,0.1712265034230407,968190,236828,0.23378917957116344
random_cumulative,Random,6,1106503,138M_models/roundwise/random_cumulative/round_06_cumulative.csv,48797,0.3528012551242472,173770,0.25127103203752654,277709,0.200783442156794,1106503,277709,0.24094232918683642
random_cumulative,Random,7,1244816,138M_models/roundwise/random_cumulative/round_07_cumulative.csv,53396,0.3860519257047421,193756,0.28017074341637216,312760,0.22612529435113335,1244816,312760,0.24222845545277213
random_cumulative,Random,8,1383129,138M_models/roundwise/random_cumulative/round_08_cumulative.csv,58112,0.4201485037559738,213780,0.3091254027103782,348017,0.25161608442319466,1383127,348017,0.24340553525638212
random_cumulative,Random,9,1521442,138M_models/roundwise/random_cumulative/round_09_cumulative.csv,62129,0.4491913269179325,231662,0.33498273478665747,380460,0.2750723541655972,1383127,348017,0.24340553525638212
random_cumulative,Random,10,1659755,138M_models/roundwise/random_cumulative/round_10_cumulative.csv,65070,0.4704546933404669,246159,0.35594536442035735,408378,0.29525705159396065,1383127,348017,0.24340553525638212
