model,round,rows,top0p1pct_hits,top0p1pct_recovery,top0p5pct_hits,top0p5pct_recovery,top1pct_hits,top1pct_recovery,ndcg1pct
LSH_baseline,10,1659755,65309,0.4721826581738521,247182,0.3574246201363865,409594,0.2961362188721643,0.24334479855960348
Random,10,1659755,65070,0.4704546933404669,246159,0.35594536442035735,408378,0.29525705159396065,0.24340553525638212
Pairwise,10,1659755,64741,0.46807603045266893,245176,0.35452394861502334,407246,0.29443861626589607,0.24129565794393198
Triplet,10,1659755,60091,0.4344566309746734,228211,0.32999259649143103,379742,0.2745532405917895,0.23108649671605455
MLP,10,1659755,42437,0.30681859261240807,181289,0.2621434892504526,317710,0.2297041414128999,0.18868280791912842
RF,0,276625,277,0.0020027040119150043,1394,0.002015720887726949,2709,0.001958605391984973,0.009950697571377641
